pdl,nom,roof_m2,potential,Nom delta conso
19366135994238,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE MATERNELLE HENRI BARBUSSE,912,Potentiel élevé,
,GROUPE SCOLAIRE HENRI BARBUSSE/ECOLE MATERNELLE HENRI BARBUSSE,,Pas de potentiel,
30001930238404,GROUPE SCOLAIRE JEANNE LABOURBE/ECOLE MATERNELLE JEANNE LABOURBE,0,Pas de potentiel,
,GROUPE SCOLAIRE JEANNE LABOURBE/ECOLE MATERNELLE JEANNE LABOURBE/RESTAURANT SCOLAIRE MATERNELLE JEANNE LABOURBE,,Pas de potentiel,
30001931251020,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - ANNEXE 1,200,Pas de potentiel,
30001931251020,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - ANNEXE 2,405,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - ANNEXE 2/ABRIS DE POUBELLES,,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - ANNEXE 2/RESTAURANT SCOLAIRE JOLIOT CURIE ELEMENTAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - ANNEXE 2/SALLE D'EVOLUTION JOLIOT CURIE,,Pas de potentiel,
30001931251020,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - BATIMENT PRINCIPAL,997,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - BATIMENT PRINCIPAL/CHAUFFERIE ECOLE ELEMENTAIRE,,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - BATIMENT PRINCIPAL/GARAGES JOLIOT CURIE (X2),,Pas de potentiel,
,GROUPE SCOLAIRE JOLIOT CURIE/ECOLE ELEMENTAIRE JOLIOT CURIE - BATIMENT PRINCIPAL/LOGEMENTS JOLIOT CURIE (4 LOCATAIRES),,Pas de potentiel,
